"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEDICALDOC","TOT","1000HAB","A","2015",3.51,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2016",3.58,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2017",3.68,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2018",3.75,"E"
"AUT","MEDICALDOC","TOT","1000HAB","A","2015",5.09,
"AUT","MEDICALDOC","TOT","1000HAB","A","2016",5.13,
"AUT","MEDICALDOC","TOT","1000HAB","A","2017",5.18,
"AUT","MEDICALDOC","TOT","1000HAB","A","2018",5.24,
"BEL","MEDICALDOC","TOT","1000HAB","A","2015",3.02,
"BEL","MEDICALDOC","TOT","1000HAB","A","2016",3.07,
"BEL","MEDICALDOC","TOT","1000HAB","A","2017",3.08,
"BEL","MEDICALDOC","TOT","1000HAB","A","2018",3.13,
"CAN","MEDICALDOC","TOT","1000HAB","A","2015",2.67,
"CAN","MEDICALDOC","TOT","1000HAB","A","2016",2.69,
"CAN","MEDICALDOC","TOT","1000HAB","A","2017",2.73,
"CAN","MEDICALDOC","TOT","1000HAB","A","2018",2.78,
"CAN","MEDICALDOC","TOT","1000HAB","A","2019",2.8,"P"
"CZE","MEDICALDOC","TOT","1000HAB","A","2018",4.04,
"DNK","MEDICALDOC","TOT","1000HAB","A","2015",3.93,
"DNK","MEDICALDOC","TOT","1000HAB","A","2016",4,
"DNK","MEDICALDOC","TOT","1000HAB","A","2017",4.11,
"DNK","MEDICALDOC","TOT","1000HAB","A","2018",4.19,
"FRA","MEDICALDOC","TOT","1000HAB","A","2015",3.34,
"FRA","MEDICALDOC","TOT","1000HAB","A","2016",3.35,
"FRA","MEDICALDOC","TOT","1000HAB","A","2017",3.37,
"FRA","MEDICALDOC","TOT","1000HAB","A","2018",3.37,
"DEU","MEDICALDOC","TOT","1000HAB","A","2015",4.14,
"DEU","MEDICALDOC","TOT","1000HAB","A","2016",4.19,
"DEU","MEDICALDOC","TOT","1000HAB","A","2017",4.25,
"DEU","MEDICALDOC","TOT","1000HAB","A","2018",4.31,
"HUN","MEDICALDOC","TOT","1000HAB","A","2015",3.1,"B"
"HUN","MEDICALDOC","TOT","1000HAB","A","2016",3.21,
"HUN","MEDICALDOC","TOT","1000HAB","A","2017",3.32,
"HUN","MEDICALDOC","TOT","1000HAB","A","2018",3.38,
"ISL","MEDICALDOC","TOT","1000HAB","A","2015",3.78,
"ISL","MEDICALDOC","TOT","1000HAB","A","2016",3.85,"B"
"ISL","MEDICALDOC","TOT","1000HAB","A","2017",3.87,
"ISL","MEDICALDOC","TOT","1000HAB","A","2018",3.89,
"ISL","MEDICALDOC","TOT","1000HAB","A","2019",3.93,
"IRL","MEDICALDOC","TOT","1000HAB","A","2015",3.12,
"IRL","MEDICALDOC","TOT","1000HAB","A","2016",3.19,
"IRL","MEDICALDOC","TOT","1000HAB","A","2017",3.26,
"IRL","MEDICALDOC","TOT","1000HAB","A","2018",3.28,
"IRL","MEDICALDOC","TOT","1000HAB","A","2019",3.34,
"ITA","MEDICALDOC","TOT","1000HAB","A","2015",3.84,
"ITA","MEDICALDOC","TOT","1000HAB","A","2016",3.95,
"ITA","MEDICALDOC","TOT","1000HAB","A","2017",3.99,
"ITA","MEDICALDOC","TOT","1000HAB","A","2018",3.98,
"ITA","MEDICALDOC","TOT","1000HAB","A","2019",4.02,"P"
"JPN","MEDICALDOC","TOT","1000HAB","A","2016",2.43,
"JPN","MEDICALDOC","TOT","1000HAB","A","2018",2.49,
"KOR","MEDICALDOC","TOT","1000HAB","A","2015",2.24,
"KOR","MEDICALDOC","TOT","1000HAB","A","2016",2.29,
"KOR","MEDICALDOC","TOT","1000HAB","A","2017",2.34,
"KOR","MEDICALDOC","TOT","1000HAB","A","2018",2.39,
"LUX","MEDICALDOC","TOT","1000HAB","A","2015",2.91,"B"
"LUX","MEDICALDOC","TOT","1000HAB","A","2016",2.88,
"LUX","MEDICALDOC","TOT","1000HAB","A","2017",2.98,
"MEX","MEDICALDOC","TOT","1000HAB","A","2015",2.33,
"MEX","MEDICALDOC","TOT","1000HAB","A","2016",2.34,
"MEX","MEDICALDOC","TOT","1000HAB","A","2017",2.4,
"MEX","MEDICALDOC","TOT","1000HAB","A","2018",2.44,
"NZL","MEDICALDOC","TOT","1000HAB","A","2015",3.05,"E"
"NZL","MEDICALDOC","TOT","1000HAB","A","2016",3.14,"E"
"NZL","MEDICALDOC","TOT","1000HAB","A","2017",3.29,"E"
"NZL","MEDICALDOC","TOT","1000HAB","A","2018",3.35,"E"
"NOR","MEDICALDOC","TOT","1000HAB","A","2015",4.4,"B"
"NOR","MEDICALDOC","TOT","1000HAB","A","2016",4.51,
"NOR","MEDICALDOC","TOT","1000HAB","A","2017",4.66,
"NOR","MEDICALDOC","TOT","1000HAB","A","2018",4.81,
"NOR","MEDICALDOC","TOT","1000HAB","A","2019",4.93,
"POL","MEDICALDOC","TOT","1000HAB","A","2015",2.33,
"POL","MEDICALDOC","TOT","1000HAB","A","2016",2.42,
"POL","MEDICALDOC","TOT","1000HAB","A","2017",2.38,
"SVK","MEDICALDOC","TOT","1000HAB","A","2015",3.45,
"SVK","MEDICALDOC","TOT","1000HAB","A","2016",3.47,
"SVK","MEDICALDOC","TOT","1000HAB","A","2017",3.42,
"SVK","MEDICALDOC","TOT","1000HAB","A","2018",3.52,
"ESP","MEDICALDOC","TOT","1000HAB","A","2015",3.85,
"ESP","MEDICALDOC","TOT","1000HAB","A","2016",3.82,
"ESP","MEDICALDOC","TOT","1000HAB","A","2017",3.88,
"ESP","MEDICALDOC","TOT","1000HAB","A","2018",4.02,
"SWE","MEDICALDOC","TOT","1000HAB","A","2015",4.17,
"SWE","MEDICALDOC","TOT","1000HAB","A","2016",4.23,
"SWE","MEDICALDOC","TOT","1000HAB","A","2017",4.27,
"CHE","MEDICALDOC","TOT","1000HAB","A","2015",4.2,
"CHE","MEDICALDOC","TOT","1000HAB","A","2016",4.25,
"CHE","MEDICALDOC","TOT","1000HAB","A","2017",4.3,
"CHE","MEDICALDOC","TOT","1000HAB","A","2018",4.34,
"TUR","MEDICALDOC","TOT","1000HAB","A","2015",1.81,
"TUR","MEDICALDOC","TOT","1000HAB","A","2016",1.83,
"TUR","MEDICALDOC","TOT","1000HAB","A","2017",1.87,
"TUR","MEDICALDOC","TOT","1000HAB","A","2018",1.88,"B"
"GBR","MEDICALDOC","TOT","1000HAB","A","2015",2.77,"B"
"GBR","MEDICALDOC","TOT","1000HAB","A","2016",2.78,
"GBR","MEDICALDOC","TOT","1000HAB","A","2017",2.81,
"GBR","MEDICALDOC","TOT","1000HAB","A","2018",2.84,
"GBR","MEDICALDOC","TOT","1000HAB","A","2019",2.95,
"USA","MEDICALDOC","TOT","1000HAB","A","2015",2.58,
"USA","MEDICALDOC","TOT","1000HAB","A","2016",2.59,
"USA","MEDICALDOC","TOT","1000HAB","A","2017",2.61,
"USA","MEDICALDOC","TOT","1000HAB","A","2018",2.61,
"CHN","MEDICALDOC","TOT","1000HAB","A","2015",1.78,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2016",1.88,"D"
"CHN","MEDICALDOC","TOT","1000HAB","A","2017",1.99,"D"
"EST","MEDICALDOC","TOT","1000HAB","A","2015",3.41,
"EST","MEDICALDOC","TOT","1000HAB","A","2016",3.46,
"EST","MEDICALDOC","TOT","1000HAB","A","2017",3.47,
"EST","MEDICALDOC","TOT","1000HAB","A","2018",3.48,
"IND","MEDICALDOC","TOT","1000HAB","A","2015",0.73,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2016",0.76,"D"
"IND","MEDICALDOC","TOT","1000HAB","A","2017",0.78,"D"
"ISR","MEDICALDOC","TOT","1000HAB","A","2015",3.07,
"ISR","MEDICALDOC","TOT","1000HAB","A","2016",3.08,
"ISR","MEDICALDOC","TOT","1000HAB","A","2017",3.14,
"ISR","MEDICALDOC","TOT","1000HAB","A","2018",3.22,
"RUS","MEDICALDOC","TOT","1000HAB","A","2015",3.9,
"RUS","MEDICALDOC","TOT","1000HAB","A","2016",3.94,
"RUS","MEDICALDOC","TOT","1000HAB","A","2017",4.04,
"RUS","MEDICALDOC","TOT","1000HAB","A","2018",4.09,
"SVN","MEDICALDOC","TOT","1000HAB","A","2015",2.83,
"SVN","MEDICALDOC","TOT","1000HAB","A","2016",3.01,
"SVN","MEDICALDOC","TOT","1000HAB","A","2017",3.1,
"SVN","MEDICALDOC","TOT","1000HAB","A","2018",3.18,
"ZAF","MEDICALDOC","TOT","1000HAB","A","2015",0.78,"D"
"COL","MEDICALDOC","TOT","1000HAB","A","2015",1.95,
"COL","MEDICALDOC","TOT","1000HAB","A","2016",2.01,
"COL","MEDICALDOC","TOT","1000HAB","A","2017",2.09,
"COL","MEDICALDOC","TOT","1000HAB","A","2018",2.18,
"LVA","MEDICALDOC","TOT","1000HAB","A","2015",3.2,
"LVA","MEDICALDOC","TOT","1000HAB","A","2016",3.21,
"LVA","MEDICALDOC","TOT","1000HAB","A","2017",3.21,
"LVA","MEDICALDOC","TOT","1000HAB","A","2018",3.3,
"LTU","MEDICALDOC","TOT","1000HAB","A","2015",4.34,
"LTU","MEDICALDOC","TOT","1000HAB","A","2016",4.47,
"LTU","MEDICALDOC","TOT","1000HAB","A","2017",4.56,
"LTU","MEDICALDOC","TOT","1000HAB","A","2018",4.6,
