"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2015",5.65,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2016",5.55,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2017",5.45,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2018",5.35,
"BEL","HOSPITALBED","ACUTE","1000HAB","A","2015",5.19,"D"
"BEL","HOSPITALBED","ACUTE","1000HAB","A","2016",5.12,"D"
"BEL","HOSPITALBED","ACUTE","1000HAB","A","2017",5,"D"
"BEL","HOSPITALBED","ACUTE","1000HAB","A","2018",4.97,"D"
"BEL","HOSPITALBED","ACUTE","1000HAB","A","2019",5.01,
"CAN","HOSPITALBED","ACUTE","1000HAB","A","2015",2.03,
"CAN","HOSPITALBED","ACUTE","1000HAB","A","2016",2.02,
"CAN","HOSPITALBED","ACUTE","1000HAB","A","2017",1.97,
"CAN","HOSPITALBED","ACUTE","1000HAB","A","2018",2,
"CAN","HOSPITALBED","ACUTE","1000HAB","A","2019",1.97,"P"
"CZE","HOSPITALBED","ACUTE","1000HAB","A","2015",4.16,
"CZE","HOSPITALBED","ACUTE","1000HAB","A","2016",4.14,
"CZE","HOSPITALBED","ACUTE","1000HAB","A","2017",4.11,
"CZE","HOSPITALBED","ACUTE","1000HAB","A","2018",4.08,
"DNK","HOSPITALBED","ACUTE","1000HAB","A","2015",2.46,
"DNK","HOSPITALBED","ACUTE","1000HAB","A","2016",2.52,
"DNK","HOSPITALBED","ACUTE","1000HAB","A","2017",2.54,
"DNK","HOSPITALBED","ACUTE","1000HAB","A","2018",2.36,
"DNK","HOSPITALBED","ACUTE","1000HAB","A","2019",2.49,"E"
"FIN","HOSPITALBED","ACUTE","1000HAB","A","2015",3.05,
"FIN","HOSPITALBED","ACUTE","1000HAB","A","2016",2.94,
"FIN","HOSPITALBED","ACUTE","1000HAB","A","2017",2.8,
"FIN","HOSPITALBED","ACUTE","1000HAB","A","2018",2.84,
"FRA","HOSPITALBED","ACUTE","1000HAB","A","2015",3.21,
"FRA","HOSPITALBED","ACUTE","1000HAB","A","2016",3.15,
"FRA","HOSPITALBED","ACUTE","1000HAB","A","2017",3.09,
"FRA","HOSPITALBED","ACUTE","1000HAB","A","2018",3.04,
"DEU","HOSPITALBED","ACUTE","1000HAB","A","2015",6.11,
"DEU","HOSPITALBED","ACUTE","1000HAB","A","2016",6.06,
"DEU","HOSPITALBED","ACUTE","1000HAB","A","2017",6.02,
"GRC","HOSPITALBED","ACUTE","1000HAB","A","2015",3.6,"B"
"GRC","HOSPITALBED","ACUTE","1000HAB","A","2016",3.57,
"GRC","HOSPITALBED","ACUTE","1000HAB","A","2017",3.6,
"GRC","HOSPITALBED","ACUTE","1000HAB","A","2018",3.63,
"HUN","HOSPITALBED","ACUTE","1000HAB","A","2015",4.26,
"HUN","HOSPITALBED","ACUTE","1000HAB","A","2016",4.28,
"HUN","HOSPITALBED","ACUTE","1000HAB","A","2017",4.27,
"HUN","HOSPITALBED","ACUTE","1000HAB","A","2018",4.27,
"ISL","HOSPITALBED","ACUTE","1000HAB","A","2015",2.62,
"ISL","HOSPITALBED","ACUTE","1000HAB","A","2016",2.61,
"ISL","HOSPITALBED","ACUTE","1000HAB","A","2017",2.51,
"ISL","HOSPITALBED","ACUTE","1000HAB","A","2018",2.34,
"ISL","HOSPITALBED","ACUTE","1000HAB","A","2019",2.3,
"IRL","HOSPITALBED","ACUTE","1000HAB","A","2015",2.75,"B"
"IRL","HOSPITALBED","ACUTE","1000HAB","A","2016",2.78,
"IRL","HOSPITALBED","ACUTE","1000HAB","A","2017",2.78,
"IRL","HOSPITALBED","ACUTE","1000HAB","A","2018",2.79,
"ITA","HOSPITALBED","ACUTE","1000HAB","A","2015",2.64,
"ITA","HOSPITALBED","ACUTE","1000HAB","A","2016",2.62,
"ITA","HOSPITALBED","ACUTE","1000HAB","A","2017",2.62,
"ITA","HOSPITALBED","ACUTE","1000HAB","A","2018",2.59,
"JPN","HOSPITALBED","ACUTE","1000HAB","A","2015",7.85,
"JPN","HOSPITALBED","ACUTE","1000HAB","A","2016",7.82,
"JPN","HOSPITALBED","ACUTE","1000HAB","A","2017",7.79,
"JPN","HOSPITALBED","ACUTE","1000HAB","A","2018",7.78,
"KOR","HOSPITALBED","ACUTE","1000HAB","A","2015",7.02,
"KOR","HOSPITALBED","ACUTE","1000HAB","A","2016",7.1,
"KOR","HOSPITALBED","ACUTE","1000HAB","A","2017",7.14,
"KOR","HOSPITALBED","ACUTE","1000HAB","A","2018",7.08,
"LUX","HOSPITALBED","ACUTE","1000HAB","A","2015",4.03,
"LUX","HOSPITALBED","ACUTE","1000HAB","A","2016",3.9,
"LUX","HOSPITALBED","ACUTE","1000HAB","A","2017",3.77,
"LUX","HOSPITALBED","ACUTE","1000HAB","A","2018",3.7,
"LUX","HOSPITALBED","ACUTE","1000HAB","A","2019",3.29,"B"
"NLD","HOSPITALBED","ACUTE","1000HAB","A","2015",3.01,"B"
"NLD","HOSPITALBED","ACUTE","1000HAB","A","2016",2.9,
"NLD","HOSPITALBED","ACUTE","1000HAB","A","2017",2.78,
"NLD","HOSPITALBED","ACUTE","1000HAB","A","2018",2.69,"P"
"NZL","HOSPITALBED","ACUTE","1000HAB","A","2015",2.69,"D"
"NZL","HOSPITALBED","ACUTE","1000HAB","A","2016",2.72,"D"
"NZL","HOSPITALBED","ACUTE","1000HAB","A","2017",2.71,"D"
"NZL","HOSPITALBED","ACUTE","1000HAB","A","2018",2.6,"D"
"NZL","HOSPITALBED","ACUTE","1000HAB","A","2019",2.55,"D"
"NOR","HOSPITALBED","ACUTE","1000HAB","A","2015",3.36,"D"
"NOR","HOSPITALBED","ACUTE","1000HAB","A","2016",3.29,"D"
"NOR","HOSPITALBED","ACUTE","1000HAB","A","2017",3.2,"D"
"NOR","HOSPITALBED","ACUTE","1000HAB","A","2018",3.13,"D"
"POL","HOSPITALBED","ACUTE","1000HAB","A","2015",4.91,
"POL","HOSPITALBED","ACUTE","1000HAB","A","2016",4.92,
"POL","HOSPITALBED","ACUTE","1000HAB","A","2017",4.85,
"POL","HOSPITALBED","ACUTE","1000HAB","A","2018",4.73,
"PRT","HOSPITALBED","ACUTE","1000HAB","A","2015",3.23,
"PRT","HOSPITALBED","ACUTE","1000HAB","A","2016",3.25,
"PRT","HOSPITALBED","ACUTE","1000HAB","A","2017",3.25,
"PRT","HOSPITALBED","ACUTE","1000HAB","A","2018",3.29,
"SVK","HOSPITALBED","ACUTE","1000HAB","A","2015",4.87,
"SVK","HOSPITALBED","ACUTE","1000HAB","A","2016",4.88,
"SVK","HOSPITALBED","ACUTE","1000HAB","A","2017",4.91,
"SVK","HOSPITALBED","ACUTE","1000HAB","A","2018",4.81,"B"
"ESP","HOSPITALBED","ACUTE","1000HAB","A","2015",2.48,
"ESP","HOSPITALBED","ACUTE","1000HAB","A","2016",2.47,
"ESP","HOSPITALBED","ACUTE","1000HAB","A","2017",2.5,
"ESP","HOSPITALBED","ACUTE","1000HAB","A","2018",2.5,"P"
"SWE","HOSPITALBED","ACUTE","1000HAB","A","2015",2.26,"D"
"SWE","HOSPITALBED","ACUTE","1000HAB","A","2016",2.15,"D"
"SWE","HOSPITALBED","ACUTE","1000HAB","A","2017",2.04,"D"
"SWE","HOSPITALBED","ACUTE","1000HAB","A","2018",1.97,"D"
"CHE","HOSPITALBED","ACUTE","1000HAB","A","2015",3.72,
"CHE","HOSPITALBED","ACUTE","1000HAB","A","2016",3.67,
"CHE","HOSPITALBED","ACUTE","1000HAB","A","2017",3.66,
"CHE","HOSPITALBED","ACUTE","1000HAB","A","2018",3.61,
"TUR","HOSPITALBED","ACUTE","1000HAB","A","2015",2.65,
"TUR","HOSPITALBED","ACUTE","1000HAB","A","2016",2.71,
"TUR","HOSPITALBED","ACUTE","1000HAB","A","2017",2.78,
"TUR","HOSPITALBED","ACUTE","1000HAB","A","2018",2.81,
"USA","HOSPITALBED","ACUTE","1000HAB","A","2015",2.46,
"USA","HOSPITALBED","ACUTE","1000HAB","A","2016",2.44,
"USA","HOSPITALBED","ACUTE","1000HAB","A","2017",2.49,"B"
"CHL","HOSPITALBED","ACUTE","1000HAB","A","2015",2.01,"D"
"CHL","HOSPITALBED","ACUTE","1000HAB","A","2016",1.99,"D"
"CHL","HOSPITALBED","ACUTE","1000HAB","A","2017",1.98,"D"
"CHL","HOSPITALBED","ACUTE","1000HAB","A","2018",1.95,"D"
"EST","HOSPITALBED","ACUTE","1000HAB","A","2015",3.68,
"EST","HOSPITALBED","ACUTE","1000HAB","A","2016",3.5,
"EST","HOSPITALBED","ACUTE","1000HAB","A","2017",3.45,
"EST","HOSPITALBED","ACUTE","1000HAB","A","2018",3.36,
"ISR","HOSPITALBED","ACUTE","1000HAB","A","2015",2.25,
"ISR","HOSPITALBED","ACUTE","1000HAB","A","2016",2.22,
"ISR","HOSPITALBED","ACUTE","1000HAB","A","2017",2.2,
"ISR","HOSPITALBED","ACUTE","1000HAB","A","2018",2.18,
"SVN","HOSPITALBED","ACUTE","1000HAB","A","2015",4.22,"D"
"SVN","HOSPITALBED","ACUTE","1000HAB","A","2016",4.19,"D"
"SVN","HOSPITALBED","ACUTE","1000HAB","A","2017",4.2,"D"
"SVN","HOSPITALBED","ACUTE","1000HAB","A","2018",4.13,"D"
"LVA","HOSPITALBED","ACUTE","1000HAB","A","2015",3.39,
"LVA","HOSPITALBED","ACUTE","1000HAB","A","2016",3.41,
"LVA","HOSPITALBED","ACUTE","1000HAB","A","2017",3.3,
"LVA","HOSPITALBED","ACUTE","1000HAB","A","2018",3.22,
"LTU","HOSPITALBED","ACUTE","1000HAB","A","2015",5.86,"E"
"LTU","HOSPITALBED","ACUTE","1000HAB","A","2016",5.59,"E"
"LTU","HOSPITALBED","ACUTE","1000HAB","A","2017",5.44,"E"
"LTU","HOSPITALBED","ACUTE","1000HAB","A","2018",5.3,"E"
