"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP65","MEN","YR","A","2015",19.5,
"AUS","LIFEEXP65","MEN","YR","A","2016",19.6,
"AUS","LIFEEXP65","MEN","YR","A","2017",19.7,
"AUS","LIFEEXP65","MEN","YR","A","2018",19.9,
"AUS","LIFEEXP65","WOMEN","YR","A","2015",22.3,
"AUS","LIFEEXP65","WOMEN","YR","A","2016",22.3,
"AUS","LIFEEXP65","WOMEN","YR","A","2017",22.3,
"AUS","LIFEEXP65","WOMEN","YR","A","2018",22.6,
"AUT","LIFEEXP65","MEN","YR","A","2015",18.1,
"AUT","LIFEEXP65","MEN","YR","A","2016",18.5,
"AUT","LIFEEXP65","MEN","YR","A","2017",18.5,
"AUT","LIFEEXP65","MEN","YR","A","2018",18.5,
"AUT","LIFEEXP65","WOMEN","YR","A","2015",21.3,
"AUT","LIFEEXP65","WOMEN","YR","A","2016",21.7,
"AUT","LIFEEXP65","WOMEN","YR","A","2017",21.5,
"AUT","LIFEEXP65","WOMEN","YR","A","2018",21.6,
"BEL","LIFEEXP65","MEN","YR","A","2015",18.2,
"BEL","LIFEEXP65","MEN","YR","A","2016",18.4,
"BEL","LIFEEXP65","MEN","YR","A","2017",18.5,
"BEL","LIFEEXP65","MEN","YR","A","2018",18.6,
"BEL","LIFEEXP65","WOMEN","YR","A","2015",21.5,
"BEL","LIFEEXP65","WOMEN","YR","A","2016",21.9,
"BEL","LIFEEXP65","WOMEN","YR","A","2017",21.9,
"BEL","LIFEEXP65","WOMEN","YR","A","2018",21.9,
"CAN","LIFEEXP65","MEN","YR","A","2015",19.1,
"CAN","LIFEEXP65","MEN","YR","A","2016",19.2,
"CAN","LIFEEXP65","MEN","YR","A","2017",19.3,
"CAN","LIFEEXP65","MEN","YR","A","2018",19.4,
"CAN","LIFEEXP65","WOMEN","YR","A","2015",22,
"CAN","LIFEEXP65","WOMEN","YR","A","2016",22,
