loc;implement;start_date;end_date;measure
Australia;1;15.03.2020;15.05.2020;Events
Australia;1;17.03.2020;17.09.2020;Travel
Australia;1;20.03.2020;01.11.2020;Distance
Australia;1;23.03.2020;15.05.2020;Public
Australia;1;29.03.2020;15.05.2020;Lock
Australia;0;;;Closure
Australia;1;29.03.2020;15.05.2020;Visit
Australia;1;22.07.2020;01.11.2020;Mask
Austria;1;16.03.2020;14.04.2020;Lock
Austria;1;17.03.2020;23.05.2020;Travel
Austria;1;06.04.2020;01.11.2020;Mask
Austria;1;16.03.2020;18.05.2020;Closure
Austria;1;16.03.2020;14.04.2020;Public
Austria;1;16.03.2020;01.11.2020;Events
Austria;1;16.03.2020;14.04.2020;Visit
Austria;1;16.03.2020;01.11.2020;Distance
Belgium;1;10.03.2020;01.08.2020;Events
Belgium;1;13.03.2020;08.06.2020;Public
Belgium;1;13.03.2020;18.05.2020;Closure
Belgium;1;17.03.2020;11.01.2020;Distance
Belgium;1;17.03.2020;08.06.2020;Visit
Belgium;1;20.03.2020;15.06.2020;Travel
Belgium;1;17.03.2020;01.10.2020;Mask
Belgium;1;17.03.2020;19.04.2020;Lock
Canada;1;16.03.2020;21.09.2020;Travel
Canada;1;22.03.2020;01.11.2020;Events
Canada;1;12.03.2020;01.06.2020;Closure
Canada;1;18.07.2020;01.11.2020;Mask
Canada;1;18.03.2020;01.11.2020;Distance
Canada;1;18.03.2020;01.11.2020;Visit
Canada;1;18.03.2020;08.05.2020;Public
Canada;0;;;Lock
Colombia;1;12.03.2020;01.11.2020;Events
Colombia;1;15.03.2020;01.09.2020;Closure
Colombia;1;16.03.2020;21.09.2020;Travel
Colombia;1;20.03.2020;01.09.2020;Lock
Colombia;1;10.07.2020;01.11.2020;Mask
Colombia;1;20.03.2020;01.09.2020;Public
Colombia;1;20.03.2020;01.09.2020;Visit
Colombia;1;20.03.2020;01.11.2020;Distance
Denmark;1;13.03.2020;18.05.2020;Lock
Denmark;1;14.03.2020;13.04.2020;Travel
Denmark;1;14.03.2020;11.05.2020;Public
Denmark;1;14.03.2020;15.04.2020;Closure
Denmark;1;14.03.2020;10.05.2020;Visit
Denmark;1;14.03.2020;10.05.2020;Events
Denmark;1;14.03.2020;01.11.2020;Distance
Denmark;1;22.08.2020;01.11.2020;Mask
Estonia;1;13.03.2020;17.05.2020;Lock
Estonia;1;13.03.2020;07.07.2020;Events
Estonia;1;13.03.2020;01.07.2020;Travel
Estonia;1;24.03.2020;01.07.2020;Distance
Estonia;1;13.03.2020;17.05.2020;Public
Estonia;1;13.03.2020;15.05.2020;Closure
Estonia;1;13.03.2020;17.05.2020;Visit
Estonia;0;;;Mask
France;1;14.03.2020;15.09.2020;Events
France;1;15.03.2020;02.06.2020;Public
France;1;15.03.2020;11.05.2020;Lock
France;1;15.03.2020;11.07.2020;Distance
France;1;16.03.2020;01.09.2020;Closure
France;1;17.03.2020;11.05.2020;Travel
France;1;15.03.2020;11.07.2020;Visit
France;1;20.07.2020;01.11.2020;Mask
